context_ids,target_id
1 2 3 4,0
0 2 3 4 5,1
0 1 3 4 5 6,2
0 1 2 4 5 6 7,3
0 1 2 3 5 6 7 8,4
1 2 3 4 6 7 8 9,5
2 3 4 5 7 8 9 10,6
3 4 5 6 8 9 10 11,7
4 5 6 7 9 10 11 12,8
5 6 7 8 10 11 12 13,9
6 7 8 9 11 12 13 14,10
7 8 9 10 12 13 14 15,11
8 9 10 11 13 14 15 16,12
9 10 11 12 14 15 16 17,13
10 11 12 13 15 16 17 18,14
11 12 13 14 16 17 18 19,15
12 13 14 15 17 18 19 20,16
13 14 15 16 18 19 20 21,17
14 15 16 17 19 20 21 22,18
15 16 17 18 20 21 22 15,19
16 17 18 19 21 22 15 23,20
17 18 19 20 22 15 23 24,21
18 19 20 21 15 23 24 25,22
19 20 21 22 23 24 25 26,15
20 21 22 15 24 25 26 27,23
21 22 15 23 25 26 27 11,24
22 15 23 24 26 27 11 28,25
15 23 24 25 27 11 28 29,26
23 24 25 26 11 28 29 30,27
24 25 26 27 28 29 30 31,11
25 26 27 11 29 30 31 32,28
26 27 11 28 30 31 32 15,29
27 11 28 29 31 32 15 33,30
11 28 29 30 32 15 33 34,31
28 29 30 31 15 33 34 35,32
29 30 31 32 33 34 35 36,15
30 31 32 15 34 35 36 37,33
31 32 15 33 35 36 37 38,34
32 15 33 34 36 37 38 39,35
15 33 34 35 37 38 39 15,36
33 34 35 36 38 39 15 40,37
34 35 36 37 39 15 40 41,38
35 36 37 38 15 40 41 42,39
36 37 38 39 40 41 42 43,15
37 38 39 15 41 42 43 10,40
38 39 15 40 42 43 10 44,41
39 15 40 41 43 10 44 45,42
15 40 41 42 10 44 45 46,43
40 41 42 43 44 45 46 47,10
41 42 43 10 45 46 47 15,44
42 43 10 44 46 47 15 48,45
43 10 44 45 47 15 48 49,46
10 44 45 46 15 48 49,47
44 45 46 47 48 49,15
45 46 47 15 49,48
46 47 15 48,49
